sbd,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,ma_ngoai_ngu
26012979,6.4,6.75,5.6,5.0,5.25,5.0,,,,N1
41004182,4.6,6.25,4.0,,,,6.0,7.75,7.75,N1
41013369,5.2,7.75,3.2,,,,3.5,4.5,6.5,N1
52001172,8.0,8.5,9.2,8.5,7.75,6.75,,,,N1
27011644,7.8,9.25,8.0,,,,7.5,8.5,9.0,N1
29026992,6.2,8.5,5.0,,,,8.0,8.25,7.75,N1
15014411,6.2,7.5,2.6,,,,8.25,8.75,9.0,N1
48023929,3.0,3.75,,,,,5.25,5.5,,
2001403,6.8,6.75,,5.25,3.25,4.5,,,,
21004226,4.8,7.0,,,,,5.0,5.0,,
5000745,5.0,7.75,7.2,,,,6.75,6.5,7.5,N1
28001887,6.8,8.25,7.0,7.0,7.5,7.25,,,,N1
17007595,7.0,8.5,7.0,2.75,6.5,7.25,,,,N1
35007633,3.6,7.5,4.4,,,,4.25,5.0,6.5,N1
16000123,8.2,8.75,5.6,8.5,9.0,8.75,,,,N1
28022656,8.6,7.5,6.6,9.0,9.5,7.5,,,,N1
28024805,6.2,7.25,3.0,,,,7.0,6.5,7.75,N1
38009900,8.0,5.25,4.6,6.0,6.5,4.25,,,,N1
49002954,8.0,7.75,5.6,8.5,7.0,5.75,,,,N1
62000049,8.0,6.0,2.6,6.75,7.25,5.5,,,,N1
59009540,2.6,6.75,1.4,,,,5.0,5.75,7.75,N1
19008748,5.0,6.25,2.4,,,,5.25,6.75,6.75,N1
15005179,4.8,6.25,3.8,,,,6.0,6.5,8.0,N1
61008663,7.4,8.5,5.2,7.5,7.0,6.75,,,,N1
51019290,5.0,7.5,3.6,,,,6.75,8.5,9.0,N1
12010920,6.2,8.0,5.4,,,,6.75,6.75,8.75,N1
23005538,4.4,6.5,3.2,,,,5.75,6.0,8.75,N1
1050089,8.4,8.5,9.4,9.25,5.25,6.5,,,,N1
40016351,8.6,6.5,7.2,7.5,9.25,7.5,,,,N1
13001755,5.4,6.0,3.4,,,,5.0,6.25,7.25,N1
1059872,8.2,8.5,,5.25,9.0,7.75,,,,
25020604,5.6,8.25,5.4,,,,7.75,8.5,7.25,N1
25009357,8.2,9.0,8.4,6.5,8.0,6.5,,,,N1
51002146,,8.25,,,,,8.25,8.75,,
21003300,8.2,7.25,4.4,7.75,8.75,7.0,,,,N1
63003837,7.0,5.5,4.2,,,,6.5,5.75,7.0,N1
35006480,6.4,7.5,6.2,,,,4.25,8.25,6.25,N1
49000500,5.6,6.0,3.2,,,,7.5,9.0,9.5,N1
23004081,3.4,7.0,2.6,,,,6.0,5.0,7.5,N1
6002225,5.0,8.75,5.0,,,,8.0,7.75,9.5,N1
1078535,3.2,7.5,,,,,7.0,6.5,,
1063404,8.4,6.25,2.0,8.5,6.75,5.75,,,,N1
40011489,7.6,6.5,,8.5,9.25,7.5,,,,
2080543,6.6,7.0,4.6,,,,5.25,8.75,9.0,N1
22011128,4.6,7.75,3.8,,,,6.25,5.5,6.0,N1
52008681,7.0,7.5,7.8,,,,5.5,8.0,8.25,N1
42006860,7.0,6.5,5.4,,,,6.5,7.25,8.5,N1
28007004,3.8,6.0,4.0,,,,5.5,7.75,7.5,N1
9000430,7.6,8.0,,,,,8.25,9.75,9.5,
3002575,3.4,7.75,2.2,,,,4.0,6.5,7.0,N1
59004621,6.2,8.0,3.0,,,,7.75,6.75,9.0,N1
49012795,8.4,8.0,7.8,8.5,8.25,6.75,,,,N1
13006266,7.8,7.5,4.6,,,,7.0,8.5,9.0,N1
54010032,3.6,7.25,,,,,8.0,7.75,,
54006397,7.0,7.25,4.4,,,,7.0,8.25,8.5,N1
41006000,3.6,7.0,4.4,,,,5.5,5.75,7.5,N1
9004040,3.6,6.75,3.4,,,,5.25,7.0,8.0,N1
45004837,7.4,6.5,4.4,5.75,6.75,5.75,,,,N1
49013729,3.6,4.0,2.8,,,,3.5,4.25,6.5,N1
42012782,7.4,7.75,5.0,,,,7.25,7.5,8.0,N1
40007716,5.6,6.0,3.0,,,,5.0,6.25,7.5,N1
6004774,3.4,5.25,2.8,,,,4.5,5.25,7.75,N1
1040972,7.4,8.75,5.2,,,,7.75,8.0,9.0,N1
23004094,6.0,8.5,5.4,,,,8.0,10.0,9.0,N1
42010274,3.2,6.75,3.8,,,,5.0,5.75,8.5,N1
53011128,,8.5,,,,,6.5,6.75,,
35008167,7.8,7.5,4.8,8.0,9.0,5.75,,,,N1
16015355,7.2,7.75,3.6,,,,8.5,9.25,9.25,N1
58002007,3.8,8.5,4.8,3.0,4.0,7.0,,,,N1
19013373,8.6,7.5,6.6,9.25,4.25,5.75,,,,N1
17005327,7.2,7.5,5.8,,,,7.0,7.75,8.25,N1
5003946,5.4,6.25,6.0,,,,6.0,7.0,7.75,N1
3009447,7.0,7.5,3.2,4.25,6.5,3.75,,,,N1
2076940,4.8,5.5,3.8,2.5,3.0,5.0,,,,N1
48006819,6.4,7.0,8.2,,,,8.0,7.75,9.5,N1
12013509,4.8,7.75,3.6,,,,7.75,8.0,8.5,N1
7002733,5.0,4.5,3.8,,,,6.25,6.0,6.25,N1
21001970,7.8,9.0,7.2,,,,6.75,8.25,8.5,N1
15007716,7.0,7.5,4.8,,,,7.25,7.5,7.0,N1
47000656,6.6,6.0,6.6,,,,6.75,6.0,5.75,N1
22005176,3.8,4.5,,,,,7.25,6.0,,
62006818,,7.75,,,,,7.5,7.25,,
53011502,2.8,5.5,,,,,3.25,6.75,,
61008673,3.8,6.0,3.4,,,,4.75,7.0,6.75,N1
48025256,8.4,7.75,6.0,4.75,8.5,8.0,,,,N1
19008168,6.4,6.5,3.4,,,,5.0,7.0,5.5,N1
35007740,5.8,4.0,4.6,,,,7.0,6.75,7.75,N1
14011776,6.2,7.5,4.8,,,,6.75,5.5,9.0,N1
46001167,,4.5,,,,,5.0,6.25,,
31008409,6.2,7.5,,,,,7.25,8.75,8.75,
28030768,8.4,9.25,7.6,,,,8.25,9.0,9.75,N1
35010072,6.2,6.0,,,,,5.75,5.75,,
9008705,7.0,5.25,5.8,,,,7.75,7.0,8.75,N1
53003370,7.6,8.5,6.4,4.5,7.5,6.5,,,,N1
33008095,8.4,8.0,9.0,7.5,5.5,6.0,,,,N1
16013228,7.8,7.5,6.2,,,,6.75,8.25,8.75,N1
28033090,5.4,8.5,4.0,,,,5.25,5.5,7.25,N1
53010966,8.6,9.0,6.4,,,,8.5,8.75,9.25,N1
16010776,5.8,7.0,,,,,4.75,6.5,,
30016051,6.2,7.5,3.8,,,,8.0,8.5,7.25,N1
28008700,4.0,7.75,2.0,,,,9.5,9.0,8.0,N1
13006350,,5.75,,,,,7.75,7.5,9.25,
13005471,7.2,5.25,6.0,6.0,5.25,7.5,,,,N1
42010175,6.2,8.25,5.8,,,,7.5,7.75,9.0,N1
51016032,6.6,8.5,5.0,,,,8.25,9.0,9.0,N1
1103750,7.2,9.0,5.2,,,,7.5,8.5,8.5,N1
18020325,6.6,8.0,6.4,,,,7.25,6.25,9.25,N1
51012304,5.0,6.75,3.8,,,,6.25,8.0,7.5,N1
29025315,7.6,7.5,8.2,8.25,6.25,6.0,,,,N1
10004109,6.2,7.75,4.6,,,,7.5,7.75,9.0,N1
38004261,7.6,8.5,6.2,8.0,4.75,4.75,,,,N1
1022458,8.4,9.25,9.4,,,,9.0,7.5,8.5,N1
2060547,5.8,5.0,6.2,3.0,5.5,5.0,,,,N1
56008780,7.0,5.25,,,,,7.25,8.5,,
19004934,6.2,8.75,6.4,,,,5.5,8.5,8.25,N1
60005974,6.2,6.75,2.4,6.75,4.5,6.5,,,,N1
21011790,8.0,7.25,3.2,7.25,7.25,5.75,,,,N1
3006083,4.4,8.75,,,,,4.25,7.25,7.25,
1083497,4.8,7.5,1.6,,,,5.25,5.5,5.25,N1
50007659,7.6,,,8.25,6.75,,,,,
48032002,3.6,6.0,,,,,2.75,7.5,,
25004162,6.6,7.75,5.4,,,,7.0,6.75,7.0,N1
25021641,4.8,7.5,3.6,,,,6.5,8.5,8.5,N1
41012460,6.6,8.75,4.0,,,,5.0,5.75,6.25,N1
25015267,8.2,9.0,6.4,,,,6.75,6.75,8.0,N1
29033522,6.8,9.5,7.2,,,,7.75,7.5,9.25,N1
2070546,8.8,6.0,8.4,6.0,9.25,8.5,,,,N1
57008362,7.8,6.0,7.6,7.25,8.75,7.0,,,,N1
3000226,4.8,8.25,3.0,,,,5.75,7.5,8.0,N1
1033179,5.4,8.0,6.2,,,,6.75,8.0,6.0,N1
17012965,4.8,6.0,2.8,,,,4.0,4.0,4.75,N1
6001475,7.0,6.0,4.2,,,,6.25,7.0,6.5,N1
53006826,8.4,8.25,8.2,9.0,9.75,9.0,,,,N1
48027516,7.0,7.0,4.8,4.5,4.75,5.25,,,,N1
37012607,5.6,6.75,6.2,,,,5.25,5.75,8.0,N1
28002121,4.2,9.0,6.8,,,,9.5,9.5,7.5,N1
54004962,7.4,7.5,4.2,7.0,7.0,6.75,,,,N1
53008937,6.2,7.0,6.8,,,,7.25,7.5,7.5,N1
2083527,7.4,7.75,7.6,6.5,5.0,6.5,,,,N1
30001375,7.8,8.5,7.4,,,,7.25,7.5,9.25,N1
55007916,5.4,7.0,4.0,,,,6.5,7.75,8.0,N1
35010253,7.6,8.0,7.6,5.5,6.0,7.0,,,,N1
53010660,8.6,8.5,7.2,7.5,7.25,7.25,,,,N1
28013269,7.8,8.25,5.4,,,,5.75,7.75,8.75,N1
19015675,4.4,7.5,,,,,5.25,8.0,,
24000871,5.6,7.0,,,,,6.25,6.25,,
26020218,7.2,8.75,7.4,,,,9.25,8.75,9.25,N1
5002406,4.8,6.5,4.4,,,,9.0,7.0,9.0,N1
51006531,6.8,7.75,5.2,7.5,6.25,5.5,,,,N1
45001995,6.4,6.75,4.0,5.0,5.0,4.5,,,,N1
12010466,6.2,6.25,3.4,,,,6.25,7.75,8.25,N1
28023852,5.8,8.5,5.8,5.0,6.0,6.75,,,,N1
38011285,7.2,7.75,4.8,7.25,6.75,7.25,,,,N1
17012409,4.6,6.5,5.4,,,,6.75,6.25,7.75,N1
26006245,8.0,7.75,6.8,8.25,8.0,6.75,,,,N1
35013511,6.0,6.5,4.0,,,,6.25,4.75,6.0,N1
31004099,5.4,6.75,6.0,,,,7.5,6.25,8.5,N1
1011194,9.0,8.0,8.4,8.25,6.5,6.25,,,,N1
2068413,7.6,5.75,4.8,5.25,6.5,7.25,,,,N1
25012882,4.6,7.75,4.0,,,,5.25,6.0,6.75,N1
1103000,5.8,8.25,1.6,,,,6.25,7.75,8.25,N1
41011280,5.6,7.5,4.6,,,,5.25,6.5,7.5,N1
52011481,6.8,,,5.0,5.0,,,,,
27006868,8.2,7.5,4.6,6.75,7.0,6.75,,,,N1
31006472,6.8,7.25,5.2,,,,6.0,8.5,7.75,N1
37007196,7.2,5.5,5.2,5.25,7.5,7.25,,,,N1
34016458,5.4,6.75,4.6,,,,8.0,8.5,8.75,N1
41007431,6.0,6.75,4.4,,,,6.25,6.25,7.0,N1
18015294,7.0,9.0,4.6,,,,7.75,8.75,9.5,N1
16010237,7.8,8.25,6.4,,,,9.0,9.5,7.75,N1
22014626,7.8,6.5,3.2,7.5,6.0,4.75,,,,N1
2034866,6.2,5.75,6.8,5.5,5.75,6.25,,,,N1
2031424,7.0,7.0,6.4,7.25,7.0,7.25,,,,N1
54007568,7.4,6.75,3.4,,,,6.25,8.5,8.25,N1
47012855,6.0,7.5,3.8,,,,5.75,6.5,8.0,N1
46000368,7.2,7.25,,4.75,7.0,6.5,,,,
44003640,,3.25,,,,,3.75,3.5,,
56004766,4.8,6.5,,,,,5.5,7.25,,
47008840,3.0,6.5,3.2,,,,5.5,6.0,9.25,N1
51010613,6.0,5.75,4.8,4.0,6.75,5.0,,,,N1
39006233,7.6,6.25,5.6,,,,6.75,7.0,8.5,N1
1087222,5.4,5.0,,,,,6.25,8.25,,
28036667,,7.75,,,,,,8.25,,
53009626,4.6,6.75,,,,,7.0,6.75,,
61009263,5.8,6.25,3.8,3.25,4.25,3.75,,,,N1
34014823,6.6,7.75,3.8,,,,5.75,7.5,8.5,N1
48028455,5.6,6.25,4.2,,,,4.25,8.0,8.5,N1
33005129,8.4,8.5,7.4,8.25,6.75,5.75,,,,N1
37016065,6.6,7.5,3.8,,,,5.25,8.0,7.5,N1
37006932,7.6,6.25,6.6,7.75,6.25,6.75,,,,N1
4013288,7.4,7.75,8.8,,,,6.25,7.5,7.5,N1
59000687,3.0,5.5,,,,,5.5,6.25,,
1061727,6.2,8.5,7.6,,,,5.75,7.0,8.25,N4
32004712,6.2,7.75,4.0,,,,7.5,8.0,8.25,N1
44011244,5.8,6.5,,6.5,5.25,5.5,,,,
1017232,3.8,6.75,,,,,6.5,6.75,,
52011975,6.0,6.25,5.6,5.0,5.5,6.0,,,,N1
37010896,8.4,6.75,5.2,,,,9.75,9.25,9.25,N1
2080614,7.6,6.5,4.2,6.0,4.75,4.25,,,,N1
22004355,6.4,6.5,3.6,,,,4.75,5.25,5.0,N1
2047112,6.6,6.0,5.0,,,,7.25,7.0,8.25,N1
21021837,6.8,7.0,5.2,,,,5.25,7.75,8.75,N1
14009119,3.0,6.0,3.2,,,,3.0,5.25,7.25,N1
25001774,8.2,9.5,9.0,,,,9.75,9.5,9.75,N1
37014995,5.4,8.0,5.0,,,,8.0,8.75,8.75,N1
59001052,7.8,5.25,,7.75,6.25,7.25,,,,
63002929,5.8,5.5,5.0,,,,5.75,8.0,8.25,N1
28007623,4.8,8.5,3.2,,,,6.5,7.75,7.25,N1
1001752,5.8,9.0,5.6,,,,7.0,9.25,8.0,N1
25016509,8.8,8.0,6.4,,,,7.25,9.25,9.5,N1
5002873,6.8,7.5,5.0,7.0,6.5,4.5,,,,N1
60000431,7.2,7.25,4.2,5.0,4.5,4.5,,,,N1
39003195,7.0,7.25,4.8,,,,7.25,6.75,8.5,N1
2037157,6.6,6.5,9.6,,,,7.25,8.25,8.75,N1
45004567,5.6,7.25,4.0,,,,8.0,7.5,8.25,N1
44010356,7.4,8.0,6.4,7.5,7.25,6.75,,,,N1
41007706,6.6,5.75,4.0,4.5,3.0,4.5,,,,N1
37011662,5.4,5.75,4.0,,,,5.0,7.75,7.25,N1
48019061,6.0,7.5,5.0,,,,7.5,7.5,8.75,N1
57010721,5.8,7.25,6.2,,,,5.75,6.75,8.0,N1
32003414,7.2,7.75,7.6,,,,5.25,6.0,8.75,N1
62005134,5.4,5.5,3.2,,,,6.0,6.75,8.75,N1
3016399,6.2,8.0,,,,,5.75,7.25,,
63000041,7.6,5.75,,,,,9.5,,,
40015583,7.6,8.25,8.6,,,,7.0,5.5,7.75,N1
22014997,8.4,8.0,8.8,,,,6.75,8.5,9.25,N1
2060935,7.4,5.75,8.2,7.0,5.75,7.25,,,,N1
1090598,5.0,8.25,3.2,,,,4.75,6.0,8.5,N1
23007630,4.2,5.25,4.2,,,,6.25,8.5,8.0,N1
50005654,7.6,6.75,6.4,,,,5.5,6.75,7.5,N1
48014393,3.6,8.25,,,,,4.75,5.25,,
38006932,3.0,3.5,,,,,6.5,4.75,,
1039269,7.0,8.5,6.6,,,,5.0,7.0,8.75,N1
42014149,5.6,6.75,3.0,,,,3.5,5.75,5.25,N1
15003274,5.0,6.75,3.2,,,,7.5,7.75,8.5,N1
17011912,3.2,4.5,,,,,4.75,7.25,,
44012629,7.4,7.0,6.4,7.25,7.25,6.0,,,,N1
30006584,4.6,8.5,3.0,,,,5.5,7.75,6.25,N1
23009804,6.8,5.5,5.8,,,,7.0,7.75,10.0,N1
48031570,7.4,7.5,5.2,,,,8.5,9.25,9.0,N1
37008580,4.2,7.0,6.0,,,,7.25,8.0,9.5,N1
35004933,8.6,7.25,7.8,5.0,5.75,4.75,,,,N1
43001551,7.8,7.0,6.2,8.5,9.0,7.5,,,,N1
50014202,5.8,7.75,4.6,,,,8.25,8.0,9.5,N1
2018987,7.2,6.25,7.0,,,,7.25,8.25,8.75,N1
48024622,5.4,5.75,3.8,3.0,2.75,5.75,,,,N1
31005749,5.8,7.0,4.6,,,,7.5,7.5,6.0,N1
40003863,6.0,8.0,3.6,,,,9.0,9.75,8.5,N1
48003284,7.2,7.75,7.4,3.75,4.75,5.0,,,,N1
38003530,7.4,4.25,4.0,,,,4.25,6.75,9.25,N1
60004022,5.0,8.0,4.8,7.25,6.0,6.5,,,,N1
29036144,6.0,9.0,6.6,,,,5.75,7.25,8.75,N1
29011128,8.2,8.75,8.8,7.75,5.75,7.5,,,,N1
6005199,3.0,5.75,3.0,,,,5.0,6.0,6.5,N1
3008263,3.8,5.5,2.8,,,,4.5,6.25,6.0,N1
48023247,4.6,3.25,,,,,6.25,6.75,,
36004739,6.2,6.0,3.4,,,,6.5,7.0,7.5,N1
2049214,8.0,7.75,9.2,,,,8.5,8.0,8.75,N1
3013489,5.6,8.75,4.0,,,,7.25,8.0,9.0,N1
51016425,8.0,9.5,7.8,6.0,7.0,7.5,,,,N1
12012753,2.8,5.0,,,,,5.75,6.0,,
61002822,7.0,6.5,8.0,,,,7.25,7.75,8.5,N1
59006202,4.2,7.0,2.8,,,,5.25,6.75,7.5,N1
51011971,7.6,8.5,6.0,8.0,7.25,7.5,,,,N1
30005763,2.8,6.5,,,,,7.5,6.25,,
1045986,6.0,7.5,3.6,,,,4.75,5.0,5.75,N1
33011262,5.2,7.25,8.6,,,,6.5,7.0,7.75,N1
24004679,6.6,9.0,,,,,6.5,6.75,,
28005314,5.6,8.0,4.8,,,,6.25,7.25,9.25,N1
34014372,8.2,4.25,4.4,8.75,8.5,4.25,,,,N1
1087551,6.6,9.5,5.6,,,,7.5,7.25,7.75,N1
1025647,7.8,9.5,9.2,,,,7.75,8.25,9.0,N1
2035328,7.8,8.25,8.6,8.75,9.25,6.0,,,,N1
55009276,5.6,7.5,2.8,,,,7.0,5.75,7.25,N1
26000804,7.8,7.0,4.8,6.75,7.75,5.0,,,,N1
12002351,8.4,8.5,8.0,,,,7.25,7.0,8.5,N1
1082421,9.0,7.5,8.4,8.25,8.75,6.25,,,,N1
3021667,6.4,6.75,,,,,6.25,8.0,,
2050044,7.6,7.75,8.0,5.5,9.0,6.0,,,,N1
19014261,7.2,8.25,5.2,8.75,8.25,5.25,,,,N1
27003599,8.6,9.25,8.2,,,,9.75,9.0,9.25,N1
16003617,7.2,9.0,5.6,,,,10.0,9.75,9.5,N1
17001616,8.8,7.0,4.4,9.0,9.75,6.75,,,,N1
37014009,3.6,6.0,3.0,,,,4.75,6.25,7.25,N1
23001206,7.8,6.0,5.6,7.0,3.0,4.5,,,,N1
26007569,7.8,8.5,6.0,5.25,7.75,7.25,,,,N1
50005463,8.0,8.5,8.4,7.75,7.0,6.75,,,,N1
51003554,7.0,8.0,4.6,,,,6.25,7.75,7.5,N1
64002933,4.4,8.5,3.2,,,,6.75,7.25,8.0,N1
43008115,8.4,9.25,9.0,7.0,6.75,5.5,,,,N1
53002004,6.2,8.0,5.6,,,,6.25,6.5,8.0,N1
36000302,8.2,8.75,9.0,,,,8.75,8.5,9.0,N1
44012111,5.2,7.5,4.2,,,,7.0,6.75,8.5,N1
28017560,7.6,8.75,8.2,,,,4.75,6.5,8.25,N1
37016073,6.0,7.25,5.0,,,,6.5,7.25,9.0,N1
47006634,7.0,6.75,4.4,,,,6.5,6.75,8.25,N1
59007895,6.6,7.75,3.4,,,,7.0,8.0,6.75,N1
1094719,6.0,6.75,2.8,5.75,5.75,3.75,,,,N1
29028607,7.0,8.25,3.8,,,,8.5,8.5,9.75,N1
10003898,5.2,5.25,3.6,,,,5.5,5.25,5.75,N1
21016239,8.2,9.0,7.8,8.0,5.5,6.5,,,,N1
49015303,5.2,6.25,4.0,,,,7.25,6.25,8.0,N1
11001255,3.0,6.25,,,,,5.0,5.75,,
17012661,6.6,7.75,2.6,,,,6.0,8.75,8.5,N1
33009859,7.4,9.25,7.6,,,,6.75,6.75,9.0,N1
51012842,7.0,8.5,2.8,,,,7.0,6.5,7.75,N1
48030200,8.4,8.25,8.8,6.5,6.25,5.75,,,,N1
2050638,5.8,5.25,4.2,,,,7.0,7.5,8.5,N1
2033753,6.8,8.25,7.0,,,,7.25,7.5,8.0,N1
25006206,8.6,8.75,5.2,8.75,8.0,6.75,,,,N1
62004557,7.0,8.0,6.0,3.75,7.0,7.0,,,,N1
12004349,6.8,6.5,,,,,9.0,9.0,,
22014383,6.8,6.75,4.6,,,,7.75,7.75,8.0,N1
1021805,8.2,8.25,9.2,7.5,7.0,7.75,,,,N1
1044788,4.4,7.5,2.4,,,,4.0,5.0,7.5,N1
17014365,7.8,7.25,8.4,8.25,5.25,6.5,,,,N1
54003454,3.4,5.0,,,,,6.25,4.75,,
12002819,6.6,9.0,8.6,,,,9.75,8.5,9.0,N1
63001192,6.0,6.25,4.4,,,,7.5,7.0,8.75,N1
2058479,8.4,7.0,5.6,7.25,8.0,8.0,,,,N1
3002479,8.0,8.5,8.8,7.25,6.5,8.75,,,,N1
26014847,7.4,6.75,1.8,5.75,5.0,5.5,,,,N1
14006873,4.4,7.75,5.2,,,,5.5,6.0,7.5,N1
2035143,7.0,6.5,5.0,,,,7.5,8.0,9.0,N1
61003864,8.6,7.25,4.6,6.75,7.25,5.75,,,,N1
28021322,8.6,8.75,6.4,,,,7.75,8.5,8.0,N1
24007460,7.4,7.0,5.8,7.5,7.5,7.5,,,,N1
29017948,6.8,9.0,7.0,,,,6.75,8.0,9.5,N1
51004613,4.0,7.75,3.2,,,,6.0,6.5,7.25,N1
55003432,5.4,5.75,2.6,7.5,7.75,6.0,,,,N1
55003102,6.2,6.75,4.4,,,,6.5,5.5,7.5,N1
57005906,6.2,5.5,3.6,,,,6.5,6.0,9.25,N1
1044879,8.6,8.75,8.4,5.25,7.5,5.25,,,,N1
30011216,8.0,6.0,4.2,8.5,8.25,6.5,,,,N1
43000993,4.0,8.0,4.8,,,,7.0,7.25,8.25,N1
